Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_precaution_0,Symptom_precaution_1,Symptom_precaution_2,Symptom_precaution_3,Symptom_Description
Diabetes, fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Diabetes, fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Diabetes, fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Diabetes, fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Dimorphic hemorrhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus,headache,avoid fatty spicy food,consume witch hazel,warm bath with Epsom salt,consume aloe vera juice,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
Dimorphic hemorrhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,avoid fatty spicy food,consume witch hazel,warm bath with Epsom salt,consume aloe vera juice,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
Dimorphic hemorrhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus,headache,avoid fatty spicy food,consume witch hazel,warm bath with Epsom salt,consume aloe vera juice,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
Dimorphic hemorrhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,headache,avoid fatty spicy food,consume witch hazel,warm bath with Epsom salt,consume aloe vera juice,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
Dimorphic hemorrhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool,headache,avoid fatty spicy food,consume witch hazel,warm bath with Epsom salt,consume aloe vera juice,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
Dimorphic hemorrhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus,headache,avoid fatty spicy food,consume witch hazel,warm bath with Epsom salt,consume aloe vera juice,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_urination,headache,stop irritation,consult nearest hospital,stop taking drug,follow up,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,headache,stop irritation,consult nearest hospital,stop taking drug,follow up,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
Drug Reaction,itching, skin_rash, stomach_pain, spotting_urination,headache,stop irritation,consult nearest hospital,stop taking drug,follow up,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
Drug Reaction,itching, skin_rash, burning_micturition, spotting_urination,headache,stop irritation,consult nearest hospital,stop taking drug,follow up,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_urination,headache,stop irritation,consult nearest hospital,stop taking drug,follow up,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_urination,stop irritation,consult nearest hospital,stop taking drug,follow up,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dyschromic_patches,headache,bath twice,use Detol or neem in bathing water,keep the infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. Some fungi live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching, skin_rash, dyschromic_patches,high_fever,headache,bath twice,use Detol or neem in bathing water,keep the infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. Some fungi live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection, skin_rash, nodal_skin_eruptions, dyschromic_patches,high_fever,headache,bath twice,use Detol or neem in bathing water,keep the infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. Some fungi live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching, nodal_skin_eruptions, dyschromic_patches,high_fever,headache,bath twice,use Detol or neem in bathing water,keep the infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. Some fungi live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching, skin_rash, nodal_skin_eruptions,high_fever,headache,bath twice,use Detol or neem in bathing water,keep the infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. Some fungi live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower oesophagal sphincter (LES), the ring of muscle between the oesophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower oesophagal sphincter (LES), the ring of muscle between the oesophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower oesophagal sphincter (LES), the ring of muscle between the oesophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower oesophagal sphincter (LES), the ring of muscle between the oesophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower oesophagal sphincter (LES), the ring of muscle between the oesophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower oesophagal sphincter (LES), the ring of muscle between the oesophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower oesophagal sphincter (LES), the ring of muscle between the oesophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
Gastroenteritis, vomiting, dehydration, diarrhoea,high_fever,headache,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,high_fever,headache,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Gastroenteritis, vomiting, sunken_eyes, dehydration,high_fever,headache,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,headache,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,high_fever,headache,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Heart attack, vomiting, breathlessness, sweating, chest_pain,headache,call an ambulance,chew aspirin,keep calm,medication,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supply blood to the heart muscle."
Heart attack, breathlessness, sweating, chest_pain,high_fever,headache,call an ambulance,chew aspirin,keep calm,medication,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supply blood to the heart muscle."
Heart attack, vomiting, breathlessness, sweating,high_fever,headache,call an ambulance,chew aspirin,keep calm,medication,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supply blood to the heart muscle."
Heart attack, vomiting, breathlessness, chest_pain,high_fever,headache,call an ambulance,chew aspirin,keep calm,medication,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supply blood to the heart muscle."
Heart attack, vomiting, sweating, chest_pain,high_fever,headache,call an ambulance,chew aspirin,keep calm,medication,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supply blood to the heart muscle."
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis A, joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis A, joint_pain, vomiting, dark_urine, nausea, loss_of_appetite,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea, loss_of_appetite,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis A, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
Hepatitis B,itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B,itching, fatigue, lethargy, dark_urine, loss_of_appetite,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, loss_of_appetite,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B,itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, family_history,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes, family_history,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes, family_history,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, nausea,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, joint_pain, vomiting, fatigue, dark_urine, nausea,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine, nausea,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine, nausea,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine, nausea,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin, dark_urine,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, dark_urine,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin, dark_urine,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drinks handled by an infected person or through infected water supplies in areas where the faecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hypertension, chest_pain, dizziness, loss_of_balance, lack_of_concentration,headache,meditation,salt baths,reduce stress,get proper sleep,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Hypertension, headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,meditation,salt baths,reduce stress,get proper sleep,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Hypertension, headache, chest_pain, loss_of_balance, lack_of_concentration,headache,meditation,salt baths,reduce stress,get proper sleep,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Hypertension, headache, chest_pain, dizziness, lack_of_concentration,headache,meditation,salt baths,reduce stress,get proper sleep,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Hypertension, headache, chest_pain, dizziness, loss_of_balance,headache,meditation,salt baths,reduce stress,get proper sleep,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Hypertension, headache, dizziness, loss_of_balance, lack_of_concentration,headache,meditation,salt baths,reduce stress,get proper sleep,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Hyperthyroidism, fatigue, weight_loss, restlessness, sweating, diarrhoea,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
Hyperthyroidism, fatigue, mood_swings, restlessness, sweating, diarrhoea,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating, diarrhoea,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, diarrhoea,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
